Student_ID,Age,Gender,Study_Hours,Attendance,Math_Score,Science_Score,English_Score,Computer_Score,Total_Score,Percentage,Grade
STU10047,17,Female,3.4,76.6,48,52,43,60,203,50.75,D
STU10048,19,Female,2.7,86.7,93,90,78,99,360,90.0,A+
STU10049,16,Female,5.0,94.2,94,100,100,97,391,97.75,A+
STU10050,19,Female,1.3,74.8,78,75,81,75,309,77.25,B
STU10051,21,Female,4.0,80.7,71,84,68,79,302,75.5,B
STU10052,17,Male,4.9,86.6,85,92,92,100,369,92.25,A+
STU10053,17,Male,4.0,77.6,73,78,78,75,304,76.0,B
STU10054,16,Female,1.7,86.6,90,66,65,82,303,75.75,B
STU10055,17,Male,7.4,87.6,82,86,79,91,338,84.5,A
STU10056,20,Male,4.7,92.8,71,60,69,59,259,64.75,C
STU10057,17,Male,7.1,75.9,82,88,75,97,342,85.5,A
STU10058,19,Male,4.0,72.6,60,50,65,65,240,60.0,C
STU10059,19,Male,2.9,78.9,82,85,94,79,340,85.0,A
STU10060,19,Male,5.0,72.3,82,93,74,95,344,86.0,A
STU10061,19,Female,4.1,87.6,68,53,65,71,257,64.25,C
STU10062,20,Female,2.4,70.4,61,70,79,85,295,73.75,B
STU10063,18,Male,7.1,100.0,94,89,88,100,371,92.75,A+
STU10064,21,Male,3.4,95.0,64,59,61,85,269,67.25,C
STU10065,16,Female,1.2,82.1,68,65,70,58,261,65.25,C
STU10066,19,Male,6.9,90.7,95,87,81,97,360,90.0,A+
STU10067,17,Female,3.6,65.6,73,77,65,69,284,71.0,B
STU10068,19,Female,3.4,100.0,69,61,78,72,280,70.0,B
STU10069,17,Female,1.3,76.1,68,70,67,67,272,68.0,C
STU10070,21,Male,7.6,80.8,75,85,86,86,332,83.0,A
STU10071,21,Female,2.2,63.4,69,67,67,80,283,70.75,B
STU10072,21,Male,4.6,86.9,71,85,87,86,329,82.25,A
STU10073,17,Female,6.1,70.9,75,70,81,82,308,77.0,B
STU10074,19,Female,5.3,83.0,76,81,86,89,332,83.0,A
STU10075,21,Male,4.4,76.6,94,95,88,94,371,92.75,A+
STU10076,20,Male,1.4,71.2,61,55,44,69,229,57.25,D
STU10077,17,Male,3.0,74.0,66,66,67,71,270,67.5,C
STU10078,17,Female,4.8,84.3,86,88,94,93,361,90.25,A+
STU10079,19,Male,3.1,69.2,67,67,66,75,275,68.75,C
STU10080,17,Female,4.9,74.5,78,65,74,63,280,70.0,B
STU10081,17,Male,5.7,88.6,91,100,100,100,391,97.75,A+
STU10082,21,Female,6.2,100.0,98,93,87,94,372,93.0,A+
STU10083,19,Female,2.3,86.8,64,67,82,77,290,72.5,B
STU10084,21,Female,8.5,72.8,96,100,92,100,388,97.0,A+
STU10085,21,Female,5.9,78.3,93,100,95,100,388,97.0,A+
STU10086,19,Male,4.5,82.3,59,52,51,64,226,56.5,D
STU10087,16,Male,6.5,78.5,90,78,94,89,351,87.75,A
STU10088,21,Female,8.8,91.0,100,100,100,100,400,100.0,A+
STU10089,20,Male,1.9,84.2,71,67,71,63,272,68.0,C
STU10090,20,Male,4.1,91.1,64,70,67,68,269,67.25,C
STU10091,17,Male,0.5,78.9,80,63,53,58,254,63.5,C
STU10092,20,Male,4.8,95.3,92,84,85,91,352,88.0,A
STU10093,17,Male,5.2,80.3,97,91,92,94,374,93.5,A+
STU10094,16,Female,4.4,72.3,69,66,82,81,298,74.5,B
STU10095,19,Male,3.3,100.0,79,87,98,95,359,89.75,A
STU10096,19,Female,0.8,63.8,43,50,52,48,193,48.25,F
STU10097,19,Male,5.2,74.6,74,63,78,72,287,71.75,B
STU10098,20,Female,7.1,75.7,75,77,91,91,334,83.5,A
STU10099,16,Male,3.4,100.0,81,100,95,92,368,92.0,A+
STU10100,20,Female,5.3,100.0,90,86,99,83,358,89.5,A
STU10101,20,Female,1.7,96.9,74,68,63,78,283,70.75,B
STU10102,16,Male,5.3,78.7,76,87,78,93,334,83.5,A
STU10103,16,Female,3.8,100.0,80,88,83,93,344,86.0,A
STU10104,16,Female,3.1,85.7,77,61,67,59,264,66.0,C
STU10105,16,Female,3.1,91.8,82,84,87,81,334,83.5,A
STU10106,19,Female,3.8,83.8,58,63,61,79,261,65.25,C
STU10107,18,Male,5.2,81.5,86,100,100,94,380,95.0,A+
STU10108,18,Female,2.1,79.5,57,64,57,69,247,61.75,C
STU10109,16,Male,3.8,79.9,71,65,65,70,271,67.75,C
STU10110,18,Male,4.4,88.1,87,84,86,89,346,86.5,A
STU10111,18,Female,2.5,85.7,78,77,86,71,312,78.0,B
STU10112,16,Male,7.7,81.7,82,95,89,95,361,90.25,A+
STU10113,18,Female,3.0,97.1,78,92,78,91,339,84.75,A
STU10114,20,Female,3.3,52.3,65,64,48,65,242,60.5,C
STU10115,17,Female,2.7,87.1,93,88,80,93,354,88.5,A
STU10116,17,Female,7.7,89.2,100,94,93,100,387,96.75,A+
STU10117,16,Male,5.5,93.5,100,95,99,100,394,98.5,A+
STU10118,19,Male,2.8,81.4,70,70,71,76,287,71.75,B
STU10119,16,Male,6.5,84.1,96,84,97,93,370,92.5,A+
STU10120,19,Male,4.9,91.9,83,93,79,98,353,88.25,A
STU10121,17,Male,5.0,96.9,87,86,98,100,371,92.75,A+
STU10122,16,Male,3.9,79.0,77,79,86,91,333,83.25,A
STU10123,21,Female,3.2,84.7,75,71,75,78,299,74.75,B
STU10124,20,Female,5.1,98.8,70,78,64,72,284,71.0,B
STU10125,18,Male,3.5,60.8,69,76,84,88,317,79.25,B
STU10126,19,Female,7.8,75.1,86,82,97,100,365,91.25,A+
STU10127,21,Male,2.2,96.7,64,75,69,64,272,68.0,C
STU10128,18,Male,7.3,92.9,100,93,100,100,393,98.25,A+
STU10129,18,Female,4.3,87.2,65,59,73,69,266,66.5,C
STU10130,16,Female,5.0,77.5,86,82,79,91,338,84.5,A
STU10131,18,Female,6.0,73.2,62,82,69,70,283,70.75,B
STU10132,20,Male,3.4,76.1,69,65,75,70,279,69.75,C
STU10133,21,Female,6.1,97.5,99,90,90,100,379,94.75,A+
STU10134,18,Female,0.5,75.7,68,64,76,75,283,70.75,B
STU10135,16,Female,3.2,83.0,62,65,75,80,282,70.5,B
STU10136,20,Female,2.8,74.5,64,69,59,75,267,66.75,C
STU10137,17,Female,2.2,90.4,73,61,78,67,279,69.75,C
STU10138,21,Female,4.1,76.6,72,81,74,80,307,76.75,B
STU10139,18,Female,5.2,81.0,80,82,68,85,315,78.75,B
STU10140,16,Female,5.8,65.2,72,94,76,85,327,81.75,A
STU10141,17,Female,4.9,65.9,64,57,52,66,239,59.75,D
STU10142,17,Male,3.3,82.1,64,61,74,70,269,67.25,C
STU10143,19,Female,5.2,68.7,77,90,80,86,333,83.25,A
STU10144,20,Male,4.7,100.0,75,89,75,90,329,82.25,A
STU10145,18,Male,6.2,61.4,83,81,85,92,341,85.25,A
STU10146,16,Female,5.9,74.0,76,71,84,84,315,78.75,B
STU10147,19,Female,4.6,82.2,75,84,71,80,310,77.5,B
STU10148,20,Female,2.9,78.3,57,66,57,81,261,65.25,C
STU10149,19,Male,3.3,71.0,78,64,62,75,279,69.75,C
STU10150,21,Female,3.5,72.4,79,79,65,83,306,76.5,B
STU10151,20,Male,3.9,72.1,61,76,83,77,297,74.25,B
STU10152,20,Female,5.0,79.1,71,70,65,79,285,71.25,B
STU10153,18,Female,5.8,100.0,82,80,81,86,329,82.25,A
STU10154,20,Female,4.4,82.8,56,61,65,72,254,63.5,C
STU10155,19,Female,4.5,93.8,100,81,100,100,381,95.25,A+
STU10156,20,Female,4.8,87.1,73,65,74,73,285,71.25,B
STU10157,18,Female,3.6,93.1,71,69,78,77,295,73.75,B
STU10158,18,Male,2.8,54.0,70,59,64,78,271,67.75,C
STU10159,21,Male,1.3,79.0,61,70,58,71,260,65.0,C
STU10160,19,Female,3.2,95.1,64,75,79,85,303,75.75,B
STU10161,17,Female,5.4,76.3,82,80,84,84,330,82.5,A
STU10162,17,Male,3.2,99.6,85,71,86,77,319,79.75,B
STU10163,20,Female,4.1,96.8,97,87,78,79,341,85.25,A
STU10164,21,Male,5.3,77.3,61,68,72,74,275,68.75,C
STU10165,16,Female,5.4,77.0,86,66,75,90,317,79.25,B
STU10166,20,Female,2.6,71.9,61,84,75,85,305,76.25,B
STU10167,21,Female,6.3,75.7,95,77,86,95,353,88.25,A
STU10168,19,Female,6.5,69.7,85,95,95,97,372,93.0,A+
STU10169,19,Male,2.5,86.3,72,83,81,92,328,82.0,A
STU10170,19,Male,3.0,67.4,80,81,81,80,322,80.5,A
STU10171,19,Female,6.6,88.0,96,100,96,100,392,98.0,A+
STU10172,19,Female,4.2,88.3,65,65,66,79,275,68.75,C
STU10173,21,Male,0.5,65.4,64,65,66,62,257,64.25,C
STU10174,21,Female,2.0,97.5,88,85,76,73,322,80.5,A
STU10175,18,Male,4.1,87.1,82,71,71,74,298,74.5,B
STU10176,17,Female,2.4,89.5,68,68,75,74,285,71.25,B
STU10177,19,Female,3.8,74.4,88,85,86,87,346,86.5,A
STU10178,16,Male,4.6,88.2,75,59,84,74,292,73.0,B
STU10179,21,Male,7.1,93.3,85,100,78,100,363,90.75,A+
STU10180,16,Female,4.0,81.0,77,92,92,84,345,86.25,A
STU10181,16,Female,6.4,100.0,98,91,70,97,356,89.0,A
STU10182,16,Female,7.1,82.4,89,96,91,88,364,91.0,A+
STU10183,18,Female,7.1,93.4,100,94,100,100,394,98.5,A+
STU10184,21,Female,5.0,84.9,72,74,75,78,299,74.75,B
STU10185,16,Female,1.0,87.9,53,49,60,62,224,56.0,D
STU10186,19,Female,5.3,65.3,75,88,74,87,324,81.0,A
STU10187,20,Female,6.4,85.7,90,90,100,100,380,95.0,A+
STU10188,16,Male,4.4,74.7,69,83,84,85,321,80.25,A
STU10189,18,Male,7.6,73.5,74,83,77,94,328,82.0,A
STU10190,21,Female,6.0,99.4,98,85,94,100,377,94.25,A+
STU10191,18,Male,5.5,79.9,71,63,67,83,284,71.0,B
STU10192,16,Female,6.5,72.0,70,71,71,80,292,73.0,B
STU10193,21,Female,5.1,78.4,77,73,74,86,310,77.5,B
STU10194,20,Female,0.5,69.0,68,66,68,59,261,65.25,C
STU10195,16,Male,3.6,96.3,90,91,79,86,346,86.5,A
STU10196,18,Male,6.7,75.0,76,87,84,95,342,85.5,A
STU10197,17,Male,3.0,87.3,73,75,71,72,291,72.75,B
STU10198,19,Male,4.1,95.6,81,80,78,80,319,79.75,B
STU10199,18,Male,2.6,77.0,75,67,73,76,291,72.75,B
STU10200,21,Female,7.7,87.3,73,77,84,95,329,82.25,A
STU10201,16,Female,7.5,71.7,86,87,79,96,348,87.0,A
STU10202,19,Female,2.9,100.0,85,75,76,74,310,77.5,B
STU10203,16,Female,4.8,91.4,69,77,71,68,285,71.25,B
STU10204,21,Male,3.3,80.1,68,65,75,75,283,70.75,B
STU10205,16,Female,5.6,74.3,88,82,94,86,350,87.5,A
STU10206,17,Female,5.4,80.9,73,80,71,83,307,76.75,B
STU10207,19,Male,6.0,78.6,93,74,87,82,336,84.0,A
STU10208,19,Female,5.1,100.0,81,88,86,91,346,86.5,A
STU10209,21,Male,9.8,69.7,100,100,100,100,400,100.0,A+
STU10210,17,Female,2.6,83.3,51,55,69,70,245,61.25,C
STU10211,18,Female,1.4,81.8,71,72,75,74,292,73.0,B
STU10212,16,Male,3.8,80.8,73,58,64,75,270,67.5,C
STU10213,20,Female,1.7,80.9,76,73,65,76,290,72.5,B
STU10214,16,Female,1.8,80.8,67,65,72,66,270,67.5,C
STU10215,16,Female,2.7,90.7,54,64,67,59,244,61.0,C
STU10216,18,Male,2.8,88.1,67,59,65,70,261,65.25,C
STU10217,16,Female,2.8,86.2,77,73,92,88,330,82.5,A
STU10218,17,Male,5.4,51.7,78,91,72,97,338,84.5,A
STU10219,17,Male,3.6,85.0,82,69,85,76,312,78.0,B
STU10220,19,Male,4.2,65.4,81,66,78,76,301,75.25,B
STU10221,21,Female,6.1,88.5,100,100,100,100,400,100.0,A+
STU10222,20,Female,3.1,96.7,81,100,93,85,359,89.75,A
STU10223,16,Female,4.0,72.7,55,75,61,75,266,66.5,C
STU10224,16,Female,5.2,79.4,79,67,77,77,300,75.0,B
STU10225,18,Male,1.0,76.0,80,81,72,79,312,78.0,B
STU10226,21,Male,0.5,94.4,51,46,59,63,219,54.75,D
STU10227,17,Male,5.1,83.0,88,87,84,87,346,86.5,A
STU10228,20,Male,5.4,99.3,91,90,86,94,361,90.25,A+
STU10229,19,Male,8.2,86.1,100,100,100,95,395,98.75,A+
STU10230,17,Male,4.8,84.4,78,84,73,89,324,81.0,A
STU10231,21,Male,6.0,82.7,80,76,82,98,336,84.0,A
STU10232,19,Male,4.1,90.2,90,84,86,82,342,85.5,A
STU10233,18,Male,5.0,64.6,62,80,82,71,295,73.75,B
STU10234,18,Male,7.5,82.9,76,84,100,96,356,89.0,A
STU10235,16,Female,0.7,81.3,54,63,60,64,241,60.25,C
STU10236,21,Female,5.2,89.3,90,75,93,88,346,86.5,A
STU10237,20,Female,8.3,80.1,82,89,84,83,338,84.5,A
STU10238,19,Male,5.0,71.6,68,76,66,80,290,72.5,B
STU10239,17,Male,7.5,82.1,81,77,83,99,340,85.0,A
STU10240,21,Female,3.4,71.2,75,84,79,99,337,84.25,A
STU10241,21,Male,4.4,62.7,76,69,52,78,275,68.75,C
STU10242,18,Male,4.6,89.3,64,71,72,64,271,67.75,C
STU10243,16,Male,0.5,87.8,40,44,49,49,182,45.5,F
STU10244,16,Male,2.4,86.7,58,60,68,66,252,63.0,C
STU10245,19,Male,2.5,95.0,95,84,90,84,353,88.25,A
STU10246,18,Male,6.0,75.3,78,81,84,94,337,84.25,A
STU10247,21,Female,6.1,67.7,75,86,83,96,340,85.0,A
STU10248,20,Male,5.1,81.3,80,93,98,98,369,92.25,A+
STU10249,18,Male,6.0,78.5,84,91,100,95,370,92.5,A+
STU10250,19,Female,4.2,73.6,77,65,72,81,295,73.75,B
STU10251,19,Male,6.7,81.2,100,100,100,99,399,99.75,A+
STU10252,18,Male,4.5,75.9,69,86,73,75,303,75.75,B
STU10253,19,Female,4.6,63.6,77,83,81,91,332,83.0,A
STU10254,18,Male,4.0,77.6,76,83,77,82,318,79.5,B
STU10255,17,Male,5.7,70.6,79,78,81,79,317,79.25,B
STU10256,18,Female,3.7,84.3,61,65,64,83,273,68.25,C
STU10257,18,Male,6.3,75.4,73,75,91,93,332,83.0,A
STU10258,19,Female,2.5,93.1,77,88,91,79,335,83.75,A
STU10259,19,Female,2.5,98.0,76,67,77,73,293,73.25,B
STU10260,16,Male,5.7,88.8,81,85,77,82,325,81.25,A
STU10261,16,Female,4.3,66.5,81,84,83,83,331,82.75,A
STU10262,17,Female,3.7,97.1,86,86,56,69,297,74.25,B
STU10263,16,Male,6.1,97.8,88,100,96,89,373,93.25,A+
STU10264,18,Female,3.4,82.2,79,88,91,92,350,87.5,A
STU10265,19,Male,4.1,95.2,78,88,73,97,336,84.0,A
STU10266,16,Female,7.0,76.5,73,89,91,95,348,87.0,A
STU10267,16,Male,7.3,63.3,69,73,79,85,306,76.5,B
STU10268,17,Male,7.3,74.4,80,87,70,93,330,82.5,A
STU10269,21,Male,4.0,99.3,91,74,78,99,342,85.5,A
STU10270,17,Female,6.7,67.1,73,75,91,90,329,82.25,A
STU10271,18,Male,2.8,82.0,83,78,87,88,336,84.0,A
STU10272,19,Male,2.9,82.3,70,65,80,81,296,74.0,B
STU10273,17,Male,0.5,76.9,52,65,70,65,252,63.0,C
STU10274,16,Female,7.5,77.6,90,83,88,100,361,90.25,A+
STU10275,19,Female,2.9,82.7,69,80,84,75,308,77.0,B
STU10276,19,Female,4.3,76.4,57,65,50,71,243,60.75,C
STU10277,16,Female,2.9,67.8,89,92,84,83,348,87.0,A
STU10278,17,Female,5.8,84.2,97,93,71,95,356,89.0,A
STU10279,16,Male,3.8,92.7,73,72,73,93,311,77.75,B
STU10280,21,Female,2.2,90.7,64,61,56,65,246,61.5,C
STU10281,19,Female,5.3,73.9,74,65,76,90,305,76.25,B
STU10282,20,Female,1.9,69.5,69,63,74,80,286,71.5,B
STU10283,20,Female,3.0,79.2,76,69,76,79,300,75.0,B
STU10284,18,Male,0.7,97.7,61,51,60,59,231,57.75,D
STU10285,16,Male,1.9,88.5,66,60,66,61,253,63.25,C
STU10286,16,Female,4.8,89.0,76,70,81,79,306,76.5,B
STU10287,18,Female,1.0,90.9,57,51,54,63,225,56.25,D
STU10288,18,Female,1.8,86.2,82,91,75,85,333,83.25,A
STU10289,18,Female,4.5,83.2,61,58,64,73,256,64.0,C
STU10290,19,Female,3.5,88.6,92,65,82,89,328,82.0,A
STU10291,21,Male,8.1,76.5,84,79,73,99,335,83.75,A
STU10292,16,Female,7.8,67.9,73,72,90,82,317,79.25,B
STU10293,19,Male,2.9,89.2,53,51,64,60,228,57.0,D
STU10294,18,Male,5.5,94.4,80,86,75,82,323,80.75,A
STU10295,16,Male,5.8,70.8,100,89,92,100,381,95.25,A+
STU10296,19,Female,3.4,90.2,87,70,95,79,331,82.75,A
STU10297,21,Male,1.8,98.8,58,65,64,72,259,64.75,C
STU10298,19,Male,4.5,82.0,78,94,90,100,362,90.5,A+
STU10299,21,Female,4.2,73.8,76,88,80,92,336,84.0,A
STU10300,18,Male,3.7,83.2,76,58,74,82,290,72.5,B
STU10301,21,Female,5.3,76.5,100,88,100,100,388,97.0,A+
STU10302,16,Female,3.1,75.8,80,77,79,79,315,78.75,B
STU10303,18,Female,2.4,86.3,64,74,76,77,291,72.75,B
STU10304,16,Female,4.7,66.0,62,66,69,73,270,67.5,C
STU10305,20,Male,5.2,67.6,76,75,100,99,350,87.5,A
STU10306,17,Female,2.4,82.2,64,61,72,68,265,66.25,C
STU10307,21,Male,6.2,81.8,85,100,83,97,365,91.25,A+
STU10308,17,Female,1.3,85.4,61,60,56,67,244,61.0,C
STU10309,17,Male,3.5,100.0,83,84,87,83,337,84.25,A
STU10310,21,Female,4.0,83.0,76,70,59,77,282,70.5,B
STU10311,18,Male,3.4,88.0,60,58,62,53,233,58.25,D
STU10312,20,Male,3.5,72.2,64,78,74,92,308,77.0,B
STU10313,16,Male,7.9,89.7,74,74,68,97,313,78.25,B
STU10314,19,Male,3.0,76.7,69,60,64,75,268,67.0,C
STU10315,16,Female,8.9,82.7,99,100,100,100,399,99.75,A+
STU10316,19,Male,5.3,80.9,89,85,96,95,365,91.25,A+
STU10317,16,Female,4.7,92.3,79,86,88,78,331,82.75,A
STU10318,21,Female,5.4,68.9,79,85,79,80,323,80.75,A
STU10319,20,Female,9.1,59.2,95,89,100,100,384,96.0,A+
STU10320,19,Male,2.7,79.9,73,84,74,89,320,80.0,A
STU10321,18,Male,2.5,86.7,84,90,74,92,340,85.0,A
STU10322,16,Female,3.1,83.5,81,79,75,75,310,77.5,B
STU10323,16,Male,4.6,94.3,81,98,71,78,328,82.0,A
STU10324,19,Male,1.4,86.4,58,73,66,62,259,64.75,C
STU10325,18,Female,4.5,76.4,79,85,87,87,338,84.5,A
STU10326,18,Female,7.5,58.7,97,93,83,97,370,92.5,A+
STU10327,21,Female,4.8,79.6,68,84,79,94,325,81.25,A
STU10328,21,Male,4.0,92.3,94,79,85,87,345,86.25,A
STU10329,21,Female,3.4,78.1,61,66,78,61,266,66.5,C
STU10330,21,Male,6.1,82.3,84,95,81,94,354,88.5,A
STU10331,21,Male,3.0,86.2,84,74,86,87,331,82.75,A
STU10332,21,Female,7.8,71.8,100,100,87,100,387,96.75,A+
STU10333,20,Male,8.0,88.2,84,96,100,100,380,95.0,A+
STU10334,18,Male,5.0,98.4,68,70,86,80,304,76.0,B
STU10335,21,Male,4.5,80.3,73,73,68,66,280,70.0,B
STU10336,18,Female,6.4,70.7,100,97,98,95,390,97.5,A+
STU10337,18,Female,6.5,81.3,100,100,94,100,394,98.5,A+
STU10338,17,Female,3.0,59.8,60,63,72,69,264,66.0,C
STU10339,20,Female,3.6,85.4,61,81,91,87,320,80.0,A
STU10340,21,Male,2.1,86.5,64,68,68,76,276,69.0,C
STU10341,16,Male,5.2,98.8,79,75,77,78,309,77.25,B
STU10342,19,Male,5.7,80.1,73,79,80,76,308,77.0,B
STU10343,16,Male,2.1,86.1,45,45,48,53,191,47.75,F
STU10344,20,Female,3.7,73.4,83,77,100,83,343,85.75,A
STU10345,19,Female,2.1,78.4,41,44,45,48,178,44.5,F
STU10346,20,Male,2.9,66.7,77,68,76,78,299,74.75,B
STU10347,18,Male,5.5,80.1,82,73,67,79,301,75.25,B
STU10348,19,Male,3.2,78.9,68,64,78,81,291,72.75,B
STU10349,18,Male,4.0,85.0,87,92,100,93,372,93.0,A+
STU10350,16,Female,1.6,75.8,60,68,70,62,260,65.0,C
STU10351,16,Male,4.8,82.8,70,70,75,73,288,72.0,B
STU10352,19,Male,4.4,78.7,82,65,65,83,295,73.75,B
STU10353,19,Female,3.2,78.7,70,60,58,63,251,62.75,C
STU10354,21,Male,4.2,82.8,77,66,80,85,308,77.0,B
STU10355,20,Female,4.8,82.4,86,82,93,84,345,86.25,A
STU10356,21,Male,3.0,89.6,92,83,85,88,348,87.0,A
STU10357,20,Female,1.8,80.8,53,47,70,63,233,58.25,D
STU10358,21,Female,7.8,78.5,96,90,87,95,368,92.0,A+
STU10359,18,Female,3.4,80.2,73,78,73,70,294,73.5,B
STU10360,19,Male,4.3,74.9,88,89,85,88,350,87.5,A
STU10361,16,Female,6.3,78.4,87,87,87,91,352,88.0,A
STU10362,20,Male,10.0,100.0,100,100,95,100,395,98.75,A+
STU10363,20,Male,2.3,72.9,64,55,65,79,263,65.75,C
STU10364,16,Male,5.3,79.2,67,86,76,76,305,76.25,B
STU10365,21,Male,3.2,78.1,69,86,81,83,319,79.75,B
STU10366,20,Female,3.5,79.5,72,80,85,72,309,77.25,B
STU10367,18,Female,3.2,78.7,71,73,86,84,314,78.5,B
STU10368,19,Female,2.5,84.8,76,77,79,80,312,78.0,B
STU10369,16,Female,4.4,64.9,86,80,69,82,317,79.25,B
STU10370,19,Female,1.8,92.4,79,86,95,73,333,83.25,A
STU10371,20,Male,6.2,88.3,90,94,80,97,361,90.25,A+
STU10372,20,Male,4.6,69.6,74,68,69,89,300,75.0,B
STU10373,16,Female,5.3,59.3,85,68,69,81,303,75.75,B
STU10374,18,Male,3.7,72.2,67,73,79,72,291,72.75,B
STU10375,17,Female,3.8,79.6,68,75,82,75,300,75.0,B
STU10376,16,Male,5.0,100.0,96,98,98,100,392,98.0,A+
STU10377,17,Male,2.4,87.4,80,83,76,90,329,82.25,A
STU10378,21,Male,3.9,63.9,79,71,75,74,299,74.75,B
STU10379,17,Male,3.0,75.1,75,73,88,70,306,76.5,B
STU10380,18,Male,2.9,81.5,100,100,82,99,381,95.25,A+
STU10381,21,Female,0.7,84.5,54,62,60,57,233,58.25,D
STU10382,17,Male,6.9,68.9,75,68,82,88,313,78.25,B
STU10383,21,Female,3.3,80.7,69,54,59,71,253,63.25,C
STU10384,17,Male,6.6,74.8,85,81,86,100,352,88.0,A
STU10385,18,Male,6.4,71.0,79,100,92,88,359,89.75,A
STU10386,17,Male,2.2,84.6,71,63,71,65,270,67.5,C
STU10387,17,Female,2.5,89.7,65,66,86,60,277,69.25,C
STU10388,17,Male,9.1,90.4,97,100,100,100,397,99.25,A+
STU10389,16,Female,7.7,87.7,94,96,90,92,372,93.0,A+
STU10390,16,Male,4.4,77.0,77,80,78,89,324,81.0,A
STU10391,16,Female,5.0,89.1,93,99,96,94,382,95.5,A+
STU10392,18,Male,3.4,85.1,83,71,80,95,329,82.25,A
STU10393,21,Female,5.3,83.3,82,83,90,86,341,85.25,A
STU10394,20,Female,3.2,75.9,81,88,81,90,340,85.0,A
STU10395,17,Female,0.8,77.0,72,63,63,71,269,67.25,C
STU10396,17,Male,2.1,82.7,59,58,63,74,254,63.5,C
STU10397,18,Male,4.5,100.0,79,67,81,76,303,75.75,B
STU10398,17,Male,2.5,85.0,60,61,66,74,261,65.25,C
STU10399,16,Female,4.4,75.9,78,72,77,78,305,76.25,B
STU10400,20,Female,2.6,73.7,79,77,75,67,298,74.5,B
STU10401,19,Female,3.1,77.1,70,71,71,87,299,74.75,B
STU10402,17,Male,6.0,100.0,100,97,100,100,397,99.25,A+
STU10403,16,Male,4.9,78.0,76,66,69,84,295,73.75,B
STU10404,19,Male,4.5,91.1,96,100,98,97,391,97.75,A+
STU10405,20,Female,6.1,78.2,84,98,76,93,351,87.75,A
